,Codigo_Empresas,Codigo_Cliente,Estado_Entrega_Cliente,Codigo_Vendedores,Pedido,produto,Descr_Tabela,qtde,Vr_Unitario,Vr_Total,Data_Pedido,Data_Entrega,Status_Pedido,Tipo_Pedido_Desc
0,01,62.579.818/0001-68,SP,014,00000002,AS0277,"LONA AIR AST-11/L-350 E-5,0 MM                    ",3.2,173.95,556.64,2011-08-18,2011-08-09,2,Vendas    
1,01,96.829.197/0001-45,BA,013,00000003,LF0035,LONA FILTRO AS-101.CA-DUP 800X800 EMB.01 (FUR)    ,88.0,104.54,9199.52,2011-09-01,2011-09-15,2,Vendas    
2,01,96.829.197/0001-45,BA,013,00000003,LF0494,LONA FILTRO AS-160.CA-CAB 800X800 EMB.01 (FUR)    ,8.0,52.27,418.16,2011-09-01,2011-09-15,2,Vendas    
3,01,96.829.197/0001-45,BA,013,00000004,LF0035,LONA FILTRO AS-101.CA-DUP 800X800 EMB.01 (FUR)    ,88.0,104.54,9199.52,2011-10-11,2011-12-31,2,Vendas    
4,01,96.829.197/0001-45,BA,013,00000004,LF0494,LONA FILTRO AS-160.CA-CAB 800X800 EMB.01 (FUR)    ,8.0,52.27,418.16,2011-10-11,2011-12-31,2,Vendas    
5,01,96.829.197/0001-45,BA,013,00000005,LF0035,LONA FILTRO AS-101.CA-DUP 800X800 EMB.01 (FUR)    ,88.0,95.9,8439.2,2011-12-01,2011-12-15,2,Vendas    
6,01,96.829.197/0001-45,BA,013,00000005,LF0494,LONA FILTRO AS-160.CA-CAB 800X800 EMB.01 (FUR)    ,8.0,47.95,383.6,2011-12-01,2011-12-15,2,Vendas    
7,01,74.127.010/0004-71,BA,015,00000006,ML0020,MANTA LAROX AS-330.CA 73500X1700 MM               ,1.0,16278.78,16278.78,2011-08-19,2012-09-10,2,Vendas    
8,01,72.099.914/0001-62,SC,005,00000007,LF1807,LONA FILTRO AS-130.CA-DUP 400X400 LISA (VEL)      ,15.0,43.0,645.0,2011-08-19,2011-09-09,2,Vendas    
9,01,72.099.914/0001-62,SC,005,00000007,LF1979,LONA FILTRO AS-130.CA-CAB 400X400 LISA (FUR)      ,2.0,24.8,49.6,2011-08-19,2011-09-09,2,Vendas    
10,01,18.499.616/0005-48,GO,013,00000008,LF0004,LONA FILTRO AS-240.TE-DUP 1000X1000 EMB.01 (VEL)  ,120.0,104.1,12492.0,2011-08-19,2011-12-30,2,Vendas    
11,01,18.499.616/0005-48,GO,013,00000009,LF0004,LONA FILTRO AS-240.TE-DUP 1000X1000 EMB.01 (VEL)  ,120.0,104.1,12492.0,2011-08-19,2011-11-30,2,Vendas    
12,01,18.499.616/0005-48,GO,013,00000012,LF0004,LONA FILTRO AS-240.TE-DUP 1000X1000 EMB.01 (VEL)  ,120.0,104.1,12492.0,2011-08-19,2011-08-30,2,Vendas    
13,01,89.637.490/0132-04,SC,005,00000013,LF0996,LONA FILTRO AS-130.CA-DUP 630X630 EMB.01 (FUR)    ,10.0,96.25,962.5,2011-08-19,2011-09-12,2,Vendas    
14,01,04.746.729/0001-62,ES,009,00000014,LF0723,LONA FILTRO AS-275.TE-SIM 1000X1000 LISA (FUR)    ,20.0,134.73,2694.6,2011-08-22,2011-09-13,2,Vendas    
15,01,62.388.362/0001-59,EX,013,00000015,DF0044,DISCO FILTRO AS-135.CA D-1300 MM                  ,500.0,32.1,16050.0,2011-08-22,2011-09-13,2,Vendas    
16,01,07.524.478/0001-60,ES,009,00000016,LF1982,LONA FILTRO AS-275.TE-SOB 400 X 400 LISA (FUR)    ,4.0,49.96,199.84,2011-08-22,2011-09-13,2,Vendas    
17,01,07.524.478/0001-60,ES,009,00000016,LF1461,LONA FILTRO AS-240.TE-DUP 630X630 LISA (VEL).     ,8.0,70.4,563.2,2011-08-22,2011-09-13,2,Vendas    
18,01,07.524.478/0001-60,ES,009,00000016,LF1458,LONA FILTRO AS-240.TE-DUP 800X800 LISA (VEL)      ,19.0,82.35,1564.65,2011-08-22,2011-09-13,2,Vendas    
19,01,07.524.478/0001-60,ES,009,00000016,LF1460,LONA FILTRO AS-240.TE-CAB 800X800 LISA            ,1.0,41.5,41.5,2011-08-22,2011-09-13,2,Vendas    
20,01,30.791.636/0001-60,ES,009,00000017,LF0875,LONA FILTRO AS-295.CA-DUP 630X630 LISA (VEL)      ,14.0,80.65,1129.1,2011-08-24,2011-09-14,2,Vendas    
